#TYPE Selected.System.Diagnostics.Process
"PorcessName","Path","Id"
,"C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_f7373b847419c8d1\WavesSvc64.exe","12708"
,"C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_f7373b847419c8d1\WavesSysSvc64.exe","8624"
,,"1140"
,"C:\Windows\system32\winlogon.exe","1360"
,"C:\Windows\system32\WLANExt.exe","18572"
,"C:\Windows\system32\wbem\wmiprvse.exe","7848"
,"C:\Windows\system32\wbem\wmiprvse.exe","20296"
,"C:\Windows\System32\DriverStore\FileRepository\mewmiprov.inf_amd64_f3c201b4c28c14d0\WMIRegistrationService.exe","5288"
,"C:\Windows\system32\WpcMon.exe","8668"
,"C:\Windows\System32\WUDFHost.exe","1500"
,"C:\Windows\System32\WUDFHost.exe","1640"
,"C:\Windows\System32\WUDFHost.exe","1824"
